City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Usinsk,RU,65.9939,57.5281,35.98,92,100,15.9,overcast clouds
117,Susangerd,IR,31.5608,48.1831,73.42,19,25,15.84,scattered clouds
118,Narsaq,GL,60.9167,-46.05,32.22,55,81,5.7,broken clouds
119,Palmer,US,42.1584,-72.3287,53.15,68,75,1.01,broken clouds
120,Punta Arenas,CL,-53.15,-70.9167,50.11,71,0,21.85,clear sky
121,Vlahita,RO,46.35,25.5167,41.23,91,59,2.24,broken clouds
122,Airai,TL,-8.9266,125.4092,74.88,54,78,1.16,broken clouds
123,Abha,SA,18.2164,42.5053,61.05,20,0,0.0,clear sky
124,Kapoeta,SS,4.7717,33.5903,77.7,60,96,2.39,light rain
125,Saint George,US,37.1041,-113.5841,73.99,22,1,1.99,clear sky
126,Bela,IN,25.9333,81.9833,77.5,88,100,9.4,overcast clouds
127,Nalut,LY,30.3333,10.85,68.4,32,100,14.63,overcast clouds
128,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
129,La Rochelle,FR,46.1667,-1.15,59.07,100,90,9.22,fog
130,Saint-Philippe,RE,-21.3585,55.7679,71.15,81,48,13.15,scattered clouds
131,Pitimbu,BR,-7.4706,-34.8086,77.59,81,100,10.02,overcast clouds
132,Severo-Kurilsk,RU,50.6789,156.125,40.35,82,46,46.77,scattered clouds
133,Vavuniya,LK,8.7514,80.4971,77.76,79,91,7.99,overcast clouds
134,Saskylakh,RU,71.9167,114.0833,17.74,95,100,9.17,light snow
135,Sarakhs,IR,36.5449,61.1577,41.14,36,0,4.61,clear sky
136,Norman Wells,CA,65.282,-126.8329,28.44,93,90,2.3,overcast clouds
137,Clyde River,CA,70.4692,-68.5914,28.51,80,100,14.83,overcast clouds
138,Lebu,CL,-37.6167,-73.65,50.94,85,0,18.79,clear sky
139,Sharanga,RU,57.1775,46.5396,39.04,93,100,6.89,overcast clouds
140,Billings,US,45.7833,-108.5007,62.37,40,20,13.8,few clouds
141,Heihe,CN,50.2441,127.4902,34.38,33,9,4.88,clear sky
142,Cabo San Lucas,MX,22.8909,-109.9124,83.61,65,20,10.36,few clouds
143,Torbay,CA,47.6666,-52.7314,42.39,97,90,9.22,mist
144,Waipawa,NZ,-41.4122,175.5153,61.43,61,0,17.36,clear sky
145,Ginda,IN,30.6945,78.4932,56.93,94,100,4.54,overcast clouds
146,Mabopane,ZA,-25.4977,28.1007,61.66,41,97,13.04,overcast clouds
147,Kuminskiy,RU,58.6667,66.5667,36.23,81,100,5.86,overcast clouds
148,Martapura,ID,-3.4167,114.85,77.09,94,20,5.75,few clouds
149,Iranshahr,IR,27.2025,60.6848,69.46,12,0,3.09,clear sky
150,Tura,IN,25.5198,90.2201,71.47,96,100,2.98,overcast clouds
151,Mogok,MM,22.9167,96.5,68.29,76,15,1.81,few clouds
152,Outjo,NA,-20.1167,16.15,62.29,18,0,7.7,clear sky
153,Tasiilaq,GL,65.6145,-37.6368,28.56,43,29,13.38,scattered clouds
154,Severnyy,RU,50.677,36.5532,41.04,87,75,6.71,broken clouds
155,Butaritari,KI,3.0707,172.7902,81.7,72,31,12.26,scattered clouds
156,Seoul,KR,37.5683,126.9778,51.37,35,0,5.75,clear sky
157,Castro,BR,-24.7911,-50.0119,56.48,98,100,8.34,overcast clouds
158,San Quintin,MX,30.4833,-115.95,66.9,71,0,10.76,clear sky
159,Ho Chi Minh City,VN,10.75,106.6667,84.22,74,75,1.14,broken clouds
160,Puerto Ayora,EC,-0.7393,-90.3518,70.56,90,100,7.0,overcast clouds
161,La Quinta,US,33.6634,-116.31,85.24,13,1,5.99,clear sky
162,Capreol,CA,46.706,-80.9225,45.55,75,90,4.0,overcast clouds
163,Ponta Do Sol,PT,32.6667,-17.1,72.72,61,55,2.1,broken clouds
164,Huarmey,PE,-10.0681,-78.1522,64.08,85,100,9.84,overcast clouds
165,Pesqueira,BR,-8.3578,-36.6964,67.23,89,96,10.13,overcast clouds
166,Boa Vista,BR,2.8197,-60.6733,78.78,69,75,10.36,thunderstorm
167,Sorkjosen,NO,69.8,20.9333,35.82,88,99,20.15,overcast clouds
168,Tigil,RU,57.8,158.6667,33.57,99,100,5.7,overcast clouds
169,Olafsvik,IS,64.8945,-23.7142,36.95,90,100,22.37,moderate rain
170,Qaanaaq,GL,77.484,-69.3632,22.91,74,100,12.59,overcast clouds
171,Mount Isa,AU,-20.7333,139.5,92.97,13,90,10.36,overcast clouds
172,Mamontovo,RU,52.7055,81.6244,34.25,78,31,5.19,scattered clouds
173,Port-Gentil,GA,-0.7193,8.7815,77.67,84,99,12.37,overcast clouds
174,Mocuba,MZ,-16.8392,36.9856,81.19,47,98,8.19,overcast clouds
175,Bengkulu,ID,-3.8004,102.2655,73.83,96,100,6.13,light rain
176,Daru,PG,-9.0763,143.2092,86.45,67,81,9.22,broken clouds
177,Boguchany,RU,58.3814,97.4531,31.03,94,45,3.0,scattered clouds
178,Mizur,RU,42.8531,44.0531,40.8,94,100,2.39,overcast clouds
179,Ingham,US,42.6,-84.3833,52.25,68,1,4.61,clear sky
180,Aranos,NA,-24.1333,19.1167,48.36,21,4,13.67,clear sky
181,Russell,US,32.3502,-85.1999,60.4,84,1,0.0,clear sky
182,Namibe,AO,-15.1961,12.1522,62.89,89,18,5.21,few clouds
183,Pacific Grove,US,36.6177,-121.9166,60.62,84,75,5.01,broken clouds
184,Kavaratti,IN,10.5669,72.642,81.82,78,100,16.55,overcast clouds
185,Inuvik,CA,68.3499,-133.7218,23.86,93,20,2.3,few clouds
186,Lata,PT,40.1629,-8.3327,67.05,96,100,1.72,overcast clouds
187,Leningradskiy,RU,69.3833,178.4167,12.97,93,100,0.74,overcast clouds
188,Inirida,CO,3.8653,-67.9239,73.99,96,72,2.86,broken clouds
189,Cabedelo,BR,-6.9811,-34.8339,77.67,82,57,10.29,broken clouds
190,Mayahi,NE,13.9553,7.6712,81.5,54,24,4.38,few clouds
191,Nome,US,64.5011,-165.4064,30.27,59,1,13.8,clear sky
192,Srednekolymsk,RU,67.45,153.6833,10.17,91,98,5.73,overcast clouds
193,Batagay-Alyta,RU,67.8006,130.4114,-0.35,74,27,2.82,scattered clouds
194,Tocopilla,CL,-22.092,-70.1979,63.3,66,17,9.57,few clouds
195,Maragogi,BR,-9.0122,-35.2225,76.82,82,100,8.99,overcast clouds
196,Catuday,PH,16.2923,119.8062,81.73,72,74,10.74,broken clouds
197,Zhigansk,RU,66.7697,123.3711,17.1,90,100,19.06,overcast clouds
198,Wiwili,NI,13.6268,-85.8254,74.32,89,99,3.06,light rain
199,Leo,BF,11.1,-2.1,79.14,51,26,5.46,scattered clouds
200,Kaitangata,NZ,-46.2817,169.8464,51.91,87,97,8.39,overcast clouds
201,Edd,ER,13.9297,41.6925,84.97,69,4,3.53,clear sky
202,Luklukan,PH,14.3254,122.7124,81.61,84,89,11.79,heavy intensity rain
203,Rawson,AR,-43.3002,-65.1023,50.5,63,0,9.26,clear sky
204,Launceston,AU,-41.45,147.1667,61.61,64,90,7.0,light rain
205,Pilar,BR,-9.5972,-35.9567,73.33,88,99,2.42,overcast clouds
206,Lorengau,PG,-2.0226,147.2712,86.05,66,12,9.95,few clouds
207,Chuy,UY,-33.6971,-53.4616,50.81,74,13,6.55,few clouds
208,Longyearbyen,SJ,78.2186,15.6401,15.64,67,20,3.44,few clouds
209,Lauchhammer,DE,51.5,13.8,47.73,84,100,4.41,overcast clouds
210,Okhotsk,RU,59.3833,143.3,17.04,61,12,23.0,few clouds
211,Varhaug,NO,58.6147,5.6457,36.86,62,100,5.68,overcast clouds
212,Derzhavinsk,KZ,51.1,66.3167,45.63,55,47,7.85,scattered clouds
213,Grindavik,IS,63.8424,-22.4338,41.47,93,90,20.71,heavy intensity rain
214,Osorno,CL,-40.5667,-73.15,48.51,87,0,4.61,clear sky
215,Taltal,CL,-25.4,-70.4833,60.94,69,0,4.92,clear sky
216,Doha,QA,25.2867,51.5333,84.18,69,0,3.44,clear sky
217,Amga,RU,60.8953,131.9608,17.31,79,100,6.02,overcast clouds
218,Carnarvon,AU,-24.8667,113.6333,71.67,53,75,5.75,broken clouds
219,Okha,RU,53.5739,142.9478,31.46,78,100,18.12,light snow
220,Porto Novo,BJ,6.4965,2.6036,82.22,91,100,5.97,moderate rain
221,Hambantota,LK,6.1241,81.1185,80.51,77,23,16.04,few clouds
222,Yar-Sale,RU,66.8333,70.8333,39.88,92,100,17.63,overcast clouds
223,Praia,CV,14.9215,-23.5087,77.54,69,0,3.44,clear sky
224,Lagunas,PE,-5.2269,-75.6753,77.52,78,27,1.52,scattered clouds
225,Zepce,BA,44.4267,18.0378,35.65,92,0,3.0,clear sky
226,Chumikan,RU,54.7183,135.315,24.98,54,14,16.91,few clouds
227,Raton,US,36.9034,-104.4391,61.14,30,1,12.66,clear sky
228,San Patricio,US,28.017,-97.5169,71.83,56,100,6.85,overcast clouds
229,Antofagasta,CL,-23.65,-70.4,58.28,80,51,4.25,broken clouds
230,Nandi,IN,13.3855,77.6984,71.02,96,92,9.1,overcast clouds
231,Yemelyanovo,RU,56.1681,92.6767,22.01,93,0,2.24,clear sky
232,Vasteras,SE,59.6162,16.5528,38.86,73,0,3.44,clear sky
233,Alta Floresta,BR,-9.8756,-56.0861,70.0,96,95,0.6,overcast clouds
234,Cherskiy,RU,68.75,161.3,-5.01,99,98,2.62,overcast clouds
235,Kununurra,AU,-15.7667,128.7333,94.98,36,100,10.36,overcast clouds
236,Mirnyy,RU,62.5353,113.9611,28.13,88,100,13.06,overcast clouds
237,Brigantine,US,39.4101,-74.3646,59.0,71,1,9.22,clear sky
238,Saint-Joseph,RE,-21.3667,55.6167,70.16,77,20,8.57,few clouds
239,Araioses,BR,-2.89,-41.9031,80.51,83,81,10.04,broken clouds
240,Totma,RU,59.9747,42.7642,34.95,91,18,9.08,few clouds
241,Port Macquarie,AU,-31.4333,152.9167,76.89,48,76,12.59,broken clouds
242,Virpur,IN,23.1833,73.4833,73.92,71,96,1.99,overcast clouds
243,Warman,CA,52.3168,-106.5679,61.09,43,75,9.22,broken clouds
244,Nelson Bay,AU,-32.7167,152.15,77.77,59,100,3.0,overcast clouds
245,Hirara,JP,24.8,125.2833,78.66,69,75,10.36,broken clouds
246,Ostrovnoy,RU,68.0531,39.5131,38.48,82,100,4.7,overcast clouds
247,Saint-Maximin-La-Sainte-Baume,FR,43.4521,5.8622,57.47,89,25,2.68,scattered clouds
248,Kemijarvi,FI,66.7131,27.4306,35.51,96,100,14.05,overcast clouds
249,Shaunavon,CA,49.6501,-108.4181,56.98,25,0,9.37,clear sky
250,Komsomolskiy,UZ,40.4272,71.7189,48.92,61,100,2.3,haze
251,Faanui,PF,-16.4833,-151.75,80.56,77,19,16.87,light rain
252,Luderitz,NA,-26.6481,15.1594,58.96,48,68,15.55,broken clouds
253,Sao Filipe,CV,14.8961,-24.4956,79.09,75,0,6.96,clear sky
254,Henties Bay,NA,-22.116,14.2845,53.85,89,0,3.18,clear sky
255,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,93,75,11.18,light intensity shower rain
256,Bubaque,GW,11.2833,-15.8333,80.62,73,99,9.42,overcast clouds
257,Port Lincoln,AU,-34.7333,135.8667,62.85,62,18,10.4,few clouds
258,Boyolangu,ID,-8.1181,111.8935,85.15,64,53,1.99,broken clouds
259,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,53,0,4.61,clear sky
260,Ishim,RU,56.1128,69.4902,36.91,73,60,7.09,broken clouds
261,Komatipoort,ZA,-25.4332,31.9548,62.06,84,100,13.2,light rain
262,Geraldton,AU,-28.7667,114.6,69.13,52,0,8.05,clear sky
263,Abu Kamal,SY,34.4506,40.9171,68.79,54,0,9.22,clear sky
264,Omsukchan,RU,62.5333,155.8,3.15,90,100,13.31,overcast clouds
265,Chirongui,YT,-12.9319,45.1483,78.73,76,11,12.62,few clouds
266,Rio Grande,BR,-32.035,-52.0986,54.95,70,0,8.08,clear sky
267,Haines Junction,CA,60.7522,-137.5108,28.35,64,100,1.14,overcast clouds
268,Kedrovyy,RU,56.1667,91.8167,19.81,82,43,4.23,scattered clouds
